Game,Region
BR1_3090858223,americas
BR1_3090844305,americas
BR1_3088924259,americas
BR1_3088904614,americas
BR1_3088891573,americas
BR1_3088876246,americas
BR1_3084712422,americas
BR1_3084700247,americas
BR1_3084645639,americas
BR1_3084625805,americas
BR1_3084604285,americas
BR1_3084231317,americas
BR1_3083363323,americas
BR1_3083343936,americas
BR1_3083328010,americas
BR1_3083314886,americas
BR1_3083292238,americas
BR1_3083004975,americas
BR1_3082999087,americas
BR1_3082993535,americas
BR1_3082979593,americas
BR1_3082967414,americas
BR1_3082956603,americas
BR1_3082943525,americas
BR1_3082922508,americas
BR1_3082910165,americas
BR1_3082893555,americas
BR1_3080164324,americas
BR1_3080128250,americas
BR1_3080106854,americas
BR1_3080084826,americas
BR1_3080051682,americas
BR1_3080037689,americas
BR1_3080025177,americas
BR1_3080011807,americas
BR1_3079866265,americas
BR1_3079847474,americas
BR1_3079829860,americas
BR1_3079809909,americas
BR1_3079795399,americas
BR1_3079785353,americas
BR1_3079777482,americas
BR1_3079771149,americas
BR1_3079760313,americas
BR1_3077938496,americas
BR1_3077925436,americas
BR1_3077905154,americas
BR1_3077889429,americas
BR1_3077853874,americas
BR1_3077842343,americas
BR1_3090707308,americas
BR1_3089985883,americas
BR1_3089970665,americas
BR1_3089951725,americas
BR1_3089546470,americas
BR1_3089523632,americas
BR1_3089502931,americas
BR1_3089493365,americas
BR1_3089474259,americas
BR1_3089462502,americas
BR1_3089455013,americas
BR1_3089434553,americas
BR1_3089304635,americas
BR1_3089288996,americas
BR1_3089276238,americas
BR1_3089221806,americas
BR1_3088988664,americas
BR1_3088964851,americas
BR1_3088569913,americas
BR1_3088556290,americas
BR1_3088533954,americas
BR1_3088518257,americas
BR1_3088499520,americas
BR1_3088376772,americas
BR1_3088365024,americas
BR1_3087913789,americas
BR1_3087910976,americas
BR1_3087907338,americas
BR1_3087899530,americas
BR1_3087885641,americas
BR1_3087872570,americas
BR1_3087569775,americas
BR1_3087565775,americas
BR1_3087560074,americas
BR1_3087549319,americas
BR1_3086900400,americas
BR1_3086885779,americas
BR1_3086866243,americas
BR1_3086850709,americas
BR1_3086804316,americas
BR1_3086775123,americas
BR1_3086765476,americas
BR1_3086741588,americas
BR1_3086728199,americas
BR1_3085745709,americas
BR1_3085425255,americas
BR1_3085416051,americas
BR1_3085402305,americas
BR1_3085074318,americas
BR1_3084813254,americas
RU_524253290,europe
RU_523374957,europe
RU_523370223,europe
RU_523365344,europe
RU_523359149,europe
RU_523352673,europe
RU_523346946,europe
RU_523171362,europe
RU_523151364,europe
RU_523107668,europe
RU_523098581,europe
RU_523083990,europe
RU_523079946,europe
RU_523077230,europe
RU_523015553,europe
RU_523005271,europe
RU_522992487,europe
RU_522972192,europe
RU_522970406,europe
RU_522954809,europe
RU_522953256,europe
RU_522947668,europe
RU_522946472,europe
RU_522940276,europe
RU_522932855,europe
RU_522928395,europe
RU_522915459,europe
RU_522910355,europe
RU_522857811,europe
RU_522855740,europe
RU_522853645,europe
RU_522847337,europe
RU_522840761,europe
RU_522835469,europe
RU_522829857,europe
RU_522825248,europe
RU_522761229,europe
RU_522755305,europe
RU_522752475,europe
RU_522750217,europe
RU_522742733,europe
RU_522737587,europe
RU_522734278,europe
RU_522718647,europe
RU_522703628,europe
RU_522696952,europe
RU_522691803,europe
RU_522689481,europe
RU_522680558,europe
RU_522675630,europe
KR_7612326901,asia
KR_7612308338,asia
KR_7612281219,asia
KR_7612244161,asia
KR_7612198303,asia
KR_7612137044,asia
KR_7612085849,asia
KR_7612023536,asia
KR_7611982861,asia
KR_7611934485,asia
KR_7611877494,asia
KR_7611824542,asia
KR_7611791149,asia
KR_7610959820,asia
KR_7610932545,asia
KR_7610880133,asia
KR_7610827965,asia
KR_7610759128,asia
KR_7610687500,asia
KR_7610622652,asia
KR_7610563322,asia
KR_7610490432,asia
KR_7610444395,asia
KR_7610389696,asia
KR_7610359681,asia
KR_7610301362,asia
KR_7610281094,asia
KR_7610239258,asia
KR_7608872913,asia
KR_7608855265,asia
KR_7608828927,asia
KR_7608817917,asia
KR_7608810046,asia
KR_7608794788,asia
KR_7608794004,asia
KR_7608782384,asia
KR_7607370429,asia
KR_7607341926,asia
KR_7607261824,asia
KR_7607242667,asia
KR_7607205665,asia
KR_7607183938,asia
KR_7607168329,asia
KR_7607141401,asia
KR_7604145425,asia
KR_7604073652,asia
KR_7604053090,asia
KR_7604006368,asia
KR_7603965837,asia
KR_7603926664,asia
KR_7613441620,asia
KR_7610525945,asia
KR_7606485150,asia
KR_7606442676,asia
KR_7606409270,asia
KR_7606356298,asia
KR_7603872336,asia
KR_7603830496,asia
KR_7598566962,asia
KR_7598520949,asia
KR_7598465417,asia
KR_7598422531,asia
KR_7591530662,asia
KR_7591464674,asia
KR_7591410440,asia
KR_7591348745,asia
KR_7574664735,asia
KR_7574650097,asia
KR_7574618253,asia
KR_7574601092,asia
KR_7574549974,asia
KR_7574512238,asia
KR_7574468135,asia
KR_7574434547,asia
KR_7574381060,asia
KR_7573655087,asia
KR_7573628543,asia
KR_7573607001,asia
KR_7573570538,asia
KR_7573537855,asia
KR_7573500976,asia
KR_7573449256,asia
KR_7572522362,asia
KR_7572489222,asia
KR_7571382609,asia
KR_7571296564,asia
KR_7571176788,asia
KR_7569635105,asia
KR_7562699589,asia
KR_7562669183,asia
KR_7562622715,asia
KR_7553740416,asia
KR_7553704589,asia
KR_7553665648,asia
KR_7553630686,asia
KR_7553566271,asia
KR_7553480853,asia
KR_7553424746,asia
KR_7553376524,asia
KR_7553254827,asia
KR_7600567738,asia
KR_7600558913,asia
KR_7600205108,asia
KR_7600123646,asia
KR_7600047305,asia
KR_7599964560,asia
KR_7599935049,asia
KR_7599834517,asia
KR_7599799950,asia
KR_7599769772,asia
KR_7599744736,asia
KR_7599704319,asia
KR_7599672744,asia
KR_7599642111,asia
