Name,Tag,Server,Region,puuid,Key_ID
snus and head,1400,euw,europe,OVFpbxVBfStus3f_NfbuLjAWSjw_KwuOmUHwWbo3vqF3dXcp-RRVzuiAvwBrpJe4olFfJYvrIr0GRQ,1
jjeiz fun acc,EGE,tr,europe,inSVxzof12mCiDrgYJYAvROEpsjktqA3vXsG-mmsU9seCNLOAxasAD9S67_aBMUse0QyE6Q4k2oR1g,1
rewoP,revel,br,americas,BP9rcKvnEYR9rwrBUsl4oUz3gdkbSGUEGQpOmthX0xmXXe2P6D2H38Qqrp1GRoFG5OsS63IjKz3M0Q,1
Ronnie,BL3,br,americas,u17Jylcd6SYgLwHGztq6ftGBXpuFoFVGUViAeoV_7rK95IejbGuZzFeTpe5_ShPUZOP4t6rSH8Ih6Q,1
Baojng,Bao,euw,europe,zVFQR_To-5h5TE2Yc6_9Y3-A-BpxzYWtl1o95vzYEjlfl6rzK78NWU9DSVocE69I-ihgcHwQZEajFQ,1
DarthVader,XDG,ru,europe,zM_g83eLRZo_kWT3Rpc_W7R8pCAPa0nAY0OZmD-lyjr2zXwU1HBxgE7bXtUkmHg6BULceAlji5ZRmg,1
kanitosan,xdd,euw,europe,LZZb71eyTWNGVPy6H2uo5RmjzU2O0bm5n0YlezqlKDEP1imNqHLyJ1sUg8me3-UC90hGE74_9YBrow,1
Perfect 1 game,KR1,kr,asia,G3YMufbFOTmzQTNK1Bu5_Nv7dUL27MtJlr0sBjnnGHx05ChjW9-eyqTfqT5KoZj-GQFwVnBrSFsCRw,1
OneRepublic,KR12,kr,asia,og1xiz64VIi9wPlixpYhhQoLQXPsozFt-eYaCi7-WMRoPZOyA28CpJmKcEt0ioFqdSPxZ1vkfk-hlA,1
CHAMA,KR87,kr,asia,0l8p00oA11xWVNe2h3mbVn7jx4JwYTcnBdfAkxgTYR3rYPV35x2uJ7lvkDfa6eZhS32KoSmSnNQwNQ,1
TheUrfGoesWurf,Smurf,na,americas,ON80B_jkn8sP9auFwna3iToSZIBZZq3Ma_yxOpt2-lqguxohAh3RcOSTT3QULRj9j1oYeyqGNtfsLQ,1
TTV BroKenSSB,TTV,na,americas,TypffoNkxSLGHkCmWqE5lhtAsoujH1aIQxkQa1jjDDisDpnb4NUwaPL8q3f4W6As4JoCer7mqsLO_A,1
No longer love,zypp,kr,asia,yL88HPU2iazqPuLfhu9DXP8F5i1WtdAbW7xmBZWiqsZc0pDcYCDSAwmAg39hmbLCvaocHFOEGqP5xQ,1
True,2025,br,americas,HBwPpEf7H5-YAnQwRgQYhODi3N1jb50aTe_oPX8mmwOkx54rJfz86DQc15pDCAeiYW41eSXS7IWc-g,1
Diver,LFT,na,americas,zMEnoOasfU0nZrnkrF43c8d09h3GPoZPN0zY6gtd2L9u1km9bV2hmLeFF0oBJqqIilzEz05aSR7CaA,1
sfdax120x120og7,1of1,tr,europe,e1SuS0lufs5gKYNH2MqUudFfCnqNS-Wwe5y6kYhXGtvUxeNhC2awQbV0RPjxwQEDQ95PnSUzImV9sA,1
PASU SKILLCHECKS,GRIND,euw,europe,b5tKgE92XP-n8mNDCVIfyr4DhzWGud8MRELowuveRkO1IrF_9xhMhQQp8rb96zUxrQ5j2ieXb42FaQ,1
Loofe,prcoz,las,americas,K0Kd21LPiTmDq2cqywRxqZb9Nb00duJbJ5ya1CdPqNCkNxre4iMfNK9pTtzpzJfwj8CFY67xebE6Lw,1
Heart,131,kr,asia,rTI-f7M0E7Qu5gVjHjEMfHfE53V-WaWVnzdYBw5nATgyC4xHFlmEbn5nvXtcFqGbIV76qXF7I68v6w,1
Punch,kr98,kr,asia,aAtBc0tZyTqedj9GPF3GD6OvGrlaTGZ1DVu9KfreYavb-3mf0MVL9rB9dKQsFkuz8lrWvgPPocKTZA,1
1Notin,br1,br,americas,8-I0ABAR2Wc-8nG-t1X8fFYju_wW5QQ8QxXD49VNO1iyni-ssBGJsar-wGGPGX6jH7LtOpbbRaRhGQ,1
Tontin,399,las,americas,DyJ3daWn_9dFp2iDPyrqRaHphc_iDe1ArJ4rZgxpnMSf6tGViCGnQofSf6ZBrCg_Qp72XT-Wmyr3jQ,1
