championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Nocturne,VemTranquiloPoh,BR1,4,11,5,3,3,11319,224114,9916,34920,0,28458,0,0,32,7,5,9263,8975,0.0,False,False,False,3,1,926,0,108,0,0,522,191,0,0,0,0,3,76,0,0,6,360.75301196676895,1,6,0,1,0,0,1649.256143005,337.00086220374016,2,2,2,68.00000005960464,0,1.2,1,0.3157894736842105,1,,0,0,3,0.0,0,0,0,0,6,0,0,0,0.12748986591650283,0,0,6,False,100
Ekko,Bekko,Ekko,11,4,1,9,12,17242,275294,22214,31920,3015,41916,0,0,35,5,7,13292,12150,0.0,False,False,False,8,2,608,0,125,14,0,529,20,0,0,2,0,9,85,1,1,3,808.1796153773423,3,6,10,0,0,0,1649.256143005,483.5756772121855,2,2,0,63.750000059604645,0,21.0,1,0.6774193548387096,3,,1,0,1,0.0,1,1,0,8,21,0,0,1,0.23150342283068792,1,3,2,True,200
Nocturne,VemTranquiloPoh,BR1,4,11,1,9,8,14718,246856,17848,30382,152,30810,0,1,14,1,3,11471,9450,0.0,False,False,False,6,1,777,0,103,14,0,613,28,0,0,0,0,9,70,0,1,1,737.8651591242347,1,9,15,0,1,0,1451.361153027,474.21997735679787,6,2,2,66.00000008940697,1,17.0,1,0.5483870967741935,3,,0,0,3,0.0,1,1,0,0,17,0,0,0,0.21122823384090797,1,1,7,True,100
JarvanIV,mitao,51114,11,4,9,1,4,9819,129573,6722,24773,0,10388,0,0,20,5,5,7216,6675,0.0,True,False,False,0,1,262,0,83,8,0,375,244,0,0,0,0,1,51,0,1,3,277.89727978115917,2,4,8,1,0,0,1451.361153027,298.3405218245805,0,2,0,56.00000008940697,0,0.5555555555555556,1,0.38461538461538464,0,,0,0,0,0.0,0,0,0,0,5,0,0,0,0.11729457552672644,0,0,0,False,200
Udyr,Machine,Awake,11,6,2,3,13,13781,232341,10971,24207,8188,51412,2,0,16,7,0,10919,8950,0.0,False,False,False,2,1,680,0,100,8,0,1466,57,0,0,0,0,3,73,0,2,0,474.3147389623811,2,12,2,1,2,0,1387.865533264,472.0511038922303,7,2,1,66.00000008940697,0,8.0,0,0.5714285714285714,1,,0,0,0,1.0,1,0,0,2,16,0,0,0,0.14190519960885523,1,7,7,True,100
Kayn,Dn Balaa7,br1,11,4,6,5,4,9294,142137,10365,28509,0,5799,0,0,11,6,0,8265,8050,0.0,False,False,False,3,1,462,0,86,0,0,285,137,0,0,0,0,5,67,0,0,0,448.12607242004674,1,8,0,0,0,0,1387.865533264,357.3217006765432,4,2,1,60.000000059604645,0,1.5,0,0.5625,1,,0,0,0,0.0,0,0,0,0,9,0,0,0,0.18355422013176695,0,0,0,False,200
Evelynn,MACI,888,4,11,5,10,4,12031,175472,20336,28714,0,14546,0,1,31,7,1,11946,11250,0.0,False,True,False,4,2,488,0,69,13,0,112,126,0,0,1,0,10,51,0,2,2,740.1335759092028,0,11,6,0,0,0,1648.578051943,434.7844215460189,6,2,2,52.00000008940697,0,2.8,4,0.875,5,,1,0,4,0.0,1,2,0,0,14,0,0,0,0.2771535096009531,1,0,3,False,100
Sejuani,Gui,9965,4,11,3,5,11,14835,240597,16788,43993,810,42363,0,0,24,3,5,10803,9050,0.0,False,False,False,4,1,1010,0,118,14,190,341,126,0,0,0,1,5,84,1,0,2,611.0113626029444,4,27,15,0,1,0,1648.578051943,393.199223179645,11,2,0,62.00000008940697,0,5.333333333333333,0,0.4444444444444444,1,,0,0,0,0.0,0,1,0,8,16,0,0,1,0.17877345921395987,0,2,5,True,200
Nocturne,VemTranquiloPoh,BR1,4,11,4,3,8,13198,240366,14003,39955,2778,60601,1,0,22,6,1,10557,9925,0.0,False,False,False,2,1,877,0,92,17,0,582,160,0,0,0,0,3,65,0,1,5,482.4133322950598,3,9,10,0,1,0,1741.716429281,363.6986769419172,6,2,2,65.80000007152557,0,2.75,1,0.2972972972972973,1,,0,0,3,0.0,1,0,0,0,11,0,0,0,0.12144537211957752,1,2,7,True,100
Kayn,screwk sz,vih,11,4,5,12,11,14931,181120,24923,41811,0,10735,0,0,23,4,3,13386,12525,0.0,False,True,False,5,2,482,0,90,4,0,266,113,0,0,2,1,12,60,1,1,3,858.5994888702021,1,12,1,0,0,0,1741.716429281,461.1624741600881,4,2,0,40.000000059604645,0,4.6,3,0.7666666666666667,1,,1,0,0,0.0,0,2,0,0,23,0,3,1,0.25735710510921844,0,0,1,False,200
