Game,Region
NA1_5272393496,americas
NA1_5272386476,americas
NA1_5272377456,americas
NA1_5272364444,americas
NA1_5272336460,americas
NA1_5272310688,americas
NA1_5272251036,americas
NA1_5272221017,americas
NA1_5272069804,americas
NA1_5272030679,americas
NA1_5272002497,americas
NA1_5271924399,americas
NA1_5271899668,americas
NA1_5271860926,americas
NA1_5271774101,americas
NA1_5271306497,americas
NA1_5271275326,americas
NA1_5271259310,americas
NA1_5271224233,americas
NA1_5271175370,americas
NA1_5271151071,americas
NA1_5271115852,americas
NA1_5271099412,americas
NA1_5271080366,americas
NA1_5271068434,americas
NA1_5271033824,americas
NA1_5271023665,americas
NA1_5271019876,americas
NA1_5271008571,americas
NA1_5270997537,americas
NA1_5270988734,americas
NA1_5270903771,americas
NA1_5270735310,americas
NA1_5270720848,americas
NA1_5270680052,americas
NA1_5270618594,americas
NA1_5270284316,americas
NA1_5270276060,americas
NA1_5270192950,americas
NA1_5270173129,americas
NA1_5270119292,americas
NA1_5270085839,americas
NA1_5270074660,americas
NA1_5269951001,americas
NA1_5269899845,americas
NA1_5269871429,americas
NA1_5269842779,americas
NA1_5269812016,americas
NA1_5269513143,americas
NA1_5269488722,americas
KR_7613994845,asia
KR_7613649385,asia
KR_7613626208,asia
KR_7613603341,asia
KR_7612770385,asia
KR_7612434127,asia
KR_7612423425,asia
KR_7611338291,asia
KR_7611312399,asia
KR_7611249926,asia
KR_7611223538,asia
KR_7611206900,asia
KR_7611046000,asia
KR_7608814191,asia
KR_7607356313,asia
KR_7607322033,asia
KR_7607293831,asia
KR_7607093386,asia
KR_7605558918,asia
KR_7605541238,asia
KR_7605177008,asia
KR_7604904529,asia
KR_7604782674,asia
KR_7602967610,asia
KR_7602847721,asia
KR_7602596342,asia
KR_7601631044,asia
KR_7601022858,asia
KR_7600512835,asia
KR_7599292674,asia
KR_7599230195,asia
KR_7599172628,asia
KR_7597400951,asia
KR_7597303657,asia
KR_7594941073,asia
KR_7591041594,asia
KR_7590808813,asia
KR_7584287976,asia
KR_7584240060,asia
KR_7584215636,asia
KR_7584119435,asia
KR_7584084527,asia
KR_7583228182,asia
KR_7583137327,asia
KR_7582772160,asia
KR_7582723782,asia
KR_7582693785,asia
KR_7582649390,asia
KR_7581885844,asia
KR_7581635109,asia
NA1_5273350347,americas
NA1_5273317340,americas
NA1_5273298939,americas
NA1_5273266603,americas
NA1_5273235572,americas
NA1_5271262147,americas
NA1_5271206283,americas
NA1_5271188424,americas
NA1_5271135833,americas
NA1_5271115852,americas
NA1_5270410404,americas
NA1_5269671156,americas
NA1_5269658454,americas
NA1_5268920920,americas
NA1_5267374656,americas
NA1_5266430396,americas
NA1_5266419140,americas
NA1_5255384752,americas
NA1_5255331210,americas
NA1_5255290627,americas
NA1_5255271298,americas
NA1_5254983672,americas
NA1_5254885544,americas
NA1_5254875622,americas
NA1_5254857062,americas
NA1_5254789126,americas
NA1_5254776399,americas
NA1_5254770764,americas
NA1_5254738893,americas
NA1_5254481927,americas
NA1_5254449084,americas
NA1_5254404534,americas
NA1_5254367368,americas
NA1_5254347074,americas
NA1_5254328594,americas
NA1_5253843866,americas
NA1_5253357019,americas
NA1_5252907713,americas
NA1_5252833318,americas
NA1_5252814497,americas
NA1_5252785626,americas
NA1_5252586675,americas
NA1_5252556674,americas
NA1_5252537533,americas
NA1_5252524311,americas
NA1_5252516819,americas
NA1_5252336802,americas
NA1_5252300713,americas
NA1_5252222916,americas
NA1_5252192574,americas
NA1_5274401073,americas
NA1_5274207575,americas
NA1_5274183340,americas
NA1_5274161884,americas
NA1_5273531519,americas
NA1_5273501510,americas
NA1_5273467052,americas
NA1_5273429427,americas
NA1_5273262041,americas
NA1_5273241291,americas
NA1_5273223244,americas
NA1_5273214066,americas
NA1_5273171281,americas
NA1_5273124133,americas
NA1_5273112537,americas
NA1_5273102088,americas
NA1_5273092154,americas
NA1_5273079086,americas
NA1_5272890296,americas
NA1_5272864804,americas
NA1_5272840869,americas
NA1_5272816696,americas
NA1_5272794170,americas
NA1_5272640450,americas
NA1_5272627887,americas
NA1_5272604754,americas
NA1_5272451391,americas
NA1_5272277177,americas
NA1_5272247412,americas
NA1_5272221919,americas
NA1_5272194903,americas
NA1_5272167972,americas
NA1_5272135190,americas
NA1_5272015184,americas
NA1_5271915278,americas
NA1_5271513707,americas
NA1_5271481062,americas
NA1_5271394635,americas
NA1_5271357922,americas
NA1_5271325760,americas
NA1_5271299819,americas
NA1_5271281934,americas
NA1_5270793739,americas
NA1_5270739759,americas
NA1_5270563748,americas
NA1_5270527642,americas
NA1_5270433501,americas
NA1_5270413733,americas
NA1_5270394544,americas
NA1_5270379368,americas
BR1_3090604428,americas
BR1_3090180548,americas
BR1_3090170567,americas
BR1_3089933060,americas
BR1_3089916387,americas
BR1_3089899549,americas
BR1_3089782529,americas
BR1_3089762986,americas
BR1_3089750167,americas
BR1_3089735600,americas
BR1_3089720072,americas
BR1_3089685892,americas
BR1_3089627678,americas
BR1_3089620068,americas
BR1_3089447303,americas
BR1_3089412623,americas
BR1_3089378383,americas
BR1_3089358003,americas
BR1_3089347862,americas
BR1_3089327865,americas
BR1_3089316081,americas
BR1_3089075290,americas
BR1_3089057770,americas
BR1_3089042162,americas
BR1_3089016897,americas
