Name,Tag,Server,Region,puuid,Key_ID
Silenced,lag,na,americas,AfbKRbSea5KpZAby9zUXT5San0IIKjZ9Eg-wwOx8eFm7z4fJO1NH_Nw7ZWfI_xoI_Gh2_iDMW2RjwA,3
rouman the goat,swag,eune,europe,DCOPvWBhOQ_TrPNaIOrtUQ42mVA-TSDd1SDdflrAIr2vFHtGB1C6XnSocTZyMZVK9kz_4DdpzIzNFQ,3
Shovoo,TR1,tr,europe,9cLXl-c8AQxwyD5wLg68EBZLXrmvmo0JqUxrODmakvyS1ebLp4_OHPljDH3NhJhPak1Ac6GsXKp41w,3
m8x2kzq7wld9rbta,x9a2m,kr,asia,Kw4So6DTB2ysYUAg-RUvpEu50fDI8BfhRpLLXXE_uXzOsK08xdAGqTnwb3ZZVQ_xyJFpYUIbisf53w,3
Ace Henry,NA1,na,americas,kSRlD_OhNtyWV_9n-oSna5Kuf6PUMm5-vusIXLzXghaewp8jCy1I-yMrpaxPJFSXJVupgXey3LdMjw,3
drowsy fever,Frfr,euw,europe,DL2S329FpJS5dDNikvGi-YxbKEXB78rzEgDeSuBtBF7budp6RY7RBjdJ3GbGaS3hs-RFVOPRWSx4PA,3
DE Kripsus,777,na,americas,SplAigExpc1INldn47DAOyAEMqRopJGrGEBO2EQ7pKjfAe2RHBHhKh2Pm11QHzticrfSBjkMCbwCQg,3
Tima,JP1,jp,asia,xzw7XDPvv3I641sMN17sd_gsgo10EU7HmvaOGfR8eW7gEKbBMWPGPvAkIoeowqK9ZJrLPQ9Y7Z5CKQ,3
pim,weeds,br,americas,OxJvs9d00cxE76MZZ3Aczw1M_i-PtfXkN4TZGPOzq1IKSuymxpx8Plv1uBqMaiKwMLcYMP_9wJc8Hg,3
gabima,br1,br,americas,ahApLKIlV49TYoe3Cfyzz_dKm-jwd9jf6u1KvWh5DBhz-mJyaMMzPMOwQ1Qe4w4z51cqh6Ws3AZ9jQ,3
AnkraMessi,siuuu,eune,europe,P_JMSiG16QT14EgP0-lDjFOKRoU5s11lmLhdTgDUZqgp6LPaNQqJ5uJBCjaLClvFoLqslpvSyBo8rw,3
Kvothe,Arc,br,americas,Wpnu2-twS-qqjLc1rSo77-WrMkFE5kxXUTY_7z2FteQf0bReK-w0Ko7QCJ5RBcpsBdAKqomoHzEZwA,3
ONEPOINTFIVE,EUW,euw,europe,zL7qLoZJ7wZPqQLIrKC-eqpDcsstHLB1xOc35Bt8xYqwoyqk26PBezFaqFfdPwnPYm2gkJ2j9J80iw,3
kebab,ktopl,euw,europe,8UDU4cSBwSEv9YhHeT5UK1fbWnrEZVF_SXcwPSmOE8KPwT5HKy1GaxV4bzhFP9WqEfzfvb90T9LDtA,3
RedFame,TR1,tr,europe,zxkw2gcph_VEuTy4URHXK_hhoWPWEr7RIMWLMaCrMwwcoUCZKM-5qdQZW6A6CDCT4N8XLR8TP04sVA,3
T1 Sanch,Son,euw,europe,HBdBRnRagpZUfVO_XKg0soXSKWgo643W9sRDk5KJFDKYq7oR_i0J9Tm2zRhlArIqwtfq1-W6Jat6nw,3
xiaodi,1228,kr,asia,cjPe_1GgSxNLinVjFkbfjVJakDHY_rxte0eeONsCWk5VfcVoqy0ezA22eyHy-Uag_SLCB3_toB0uCg,3
Rhujshyald,8449,na,americas,1JU4Fkp1N-DsqwIIinMLy89K8g6WjhR3CO3YguwL_QPSdrGFReNNxXEDHFVzF7RLcMKBeilv9FKziw,3
Luden,9876,euw,europe,PjUzTbKa6vJxJ7ojx1tYmMNE7fPcLkdi-xwqODzH7JZv-Ss6oYiQJZSz7RS8yhP88QvOR944B2bEvg,3
T1 Gumayusi,CWELL,eune,europe,OoYV7Bjd55H8KG2wcCi1RlVQcO7XFKhZCM9edPIC257L4XCIc_K_zi9Bpwiuhxpmh8qD-8d70ESbtg,3
EvolvedPredator,Kha6,eune,europe,-aMUtqLxUPr4j1m3tZcMEpBep6Cc4u-Dur3FY3elFN2Q6lhi9r7SuYax7vZePyzqG81BLViYqjsxNg,3
Heaven,bresh,las,americas,X0QSSZYmNMY60F1-8U0GeAA-WXUyf4zgB2qKfmyag3-Y7ujv7ENe5u79LhTBJEhNs2MjJkoyb3Ocsw,3
Copy,Fear,br,americas,ncWZpFiFxTskcUN0LrQMysdg3a9BX75rHlxW4C1Maviz-Q3594-RcwMNG2LtecUSb15Tib3rQhdkRQ,3
LastTime,4MANO,na,americas,Ja6VOCv8G2X25fwp-KMHd9dqh3_MG1EahHz0Vy2kF-WA7b9gDRqgt6svbk5JO5VV3fP4r-HH8OuyGA,3
DooM12,1312,na,americas,6FJGk0LT38oOSzIJ_NtMQb4Ii_i566p-5Bd78MET4UkibRpBIaW_OvyDlxvpekpjD7PGIk7bG3Ctgw,3
Chuku,Claws,eune,europe,pwQB1pSXou7JOrh1aR5ZfM1n5F9QqPol0VXdjNGzNfn3WVhx6qJvrgr6WO3_ScJJCAi8xe8Lf-KR9g,3
linni,manni,na,americas,WvshVbm-v7JmL4d0ra5o5yP7pxmqn9zJRHaxkGgpd8ugEnLTRPrMwygjIcqmOQCHwIVyzFxopL_qDQ,3
Codesix,0112,kr,asia,sOIDnxIqa8pgedcKzIADI_xg95SG9BPEnkiDi8DUmBgltBOrnPVWHrCjHelBvdlK2wzgTwLdBwemtg,3
